Tenor,Contribution,Portfolio
KRD Contribution 3M,-1.5999346660914686e-05,USD Portfolio
KRD Contribution 1Y,0.0001889763557394,USD Portfolio
KRD Contribution 2Y,0.0004576609805886,USD Portfolio
KRD Contribution 3Y,0.0008822929407995,USD Portfolio
KRD Contribution 5Y,0.0013527630362362,USD Portfolio
KRD Contribution 7Y,0.001760721310477,USD Portfolio
KRD Contribution 10Y,0.0020017379484265,USD Portfolio
KRD Contribution 15Y,0.0016398483865302,USD Portfolio
KRD Contribution 20Y,0.0012482600960614,USD Portfolio
KRD Contribution 25Y,0.0008251392614371,USD Portfolio
KRD Contribution 30Y,0.0003875365812202,USD Portfolio
KRD Contribution 40Y,7.523839238915723e-06,USD Portfolio
KRD Contribution 50Y,6.180011953195899e-06,USD Portfolio
KRD Contribution 3M,4.397814989628588e-06,EUR Portfolio
KRD Contribution 1Y,9.14664126155769e-05,EUR Portfolio
KRD Contribution 2Y,0.0002856187482369,EUR Portfolio
KRD Contribution 3Y,0.0005958876430939,EUR Portfolio
KRD Contribution 5Y,0.0010387163701937,EUR Portfolio
KRD Contribution 7Y,0.0012635352501004,EUR Portfolio
KRD Contribution 10Y,0.001276873252323,EUR Portfolio
KRD Contribution 15Y,0.0008661684762006,EUR Portfolio
KRD Contribution 20Y,0.0005852607089505,EUR Portfolio
KRD Contribution 25Y,0.0004977020409368,EUR Portfolio
KRD Contribution 30Y,0.0003608825662697,EUR Portfolio
KRD Contribution 40Y,5.971177580208985e-05,EUR Portfolio
KRD Contribution 50Y,2.0052342602228356e-05,EUR Portfolio
