Barclays Industry,Market Value %,Portfolio
Treasury,55.20559835042168,EUR Portfolio
Supranational,6.873150059740938,EUR Portfolio
Foreign Agencies,6.717271668800967,EUR Portfolio
Banking,6.121099217322156,EUR Portfolio
Mortgages Other,5.058152948244431,EUR Portfolio
Foreign Local Government,3.840870190420837,EUR Portfolio
Consumer Non-Cyclical,2.6192234885498387,EUR Portfolio
Consumer Cyclical,1.8257826210680532,EUR Portfolio
Communications,1.3177041607022946,EUR Portfolio
Pfandbriefe Traditional,1.2351238725798137,EUR Portfolio
